Market,Symbol,Charting Symbol,Amount Per Tick,Roll Over Days Prior to Expiration,F.January,G.Feburary,H.March,J.April,K.May,M.June,N.July,Q.August,U.September,V.October,X.November,Z.December
Mini S&P,@ES,@ES=107XN,12.5,7,,,17,,,17,,,16,,,16
Mini NASDAQ,@NQ,@NQ=107XN,5,7,,,17,,,17,,,16,,,16
Mini DOW,@YM,@YM=107XN,5,7,,,17,,,17,,,16,,,16
Mini Russell,@TF,@TF=107XN,10,7,,,17,,,17,,,16,,,16
US Dollar,@DX,@DX=103XN,5,3,,,,,,13,,,19,,,
Euro,@EC,@EC=103XN,12.5,3,,,,,,13,,,19,,,
Yen,@JY,@JY=103XN,12.5,3,,,,,,13,,,19,,,
British Pound,@BP,@BP=103XN,6.25,3,,,,,,13,,,19,,,
Austrailan Dollar,@AD,@AD=103XN,10,3,,,,,,13,,,19,,,
Swiss Franc,@SF,@SF=103XN,12.5,3,,,,,,13,,,19,,,
Canadian Dollar,@CD,@CD=103XN,10,3,,,,,,13,,,19,,,
30 Year Bonds,@US,@US=114XN,31.25,14,,,,,,21,,,21,,,20
10 Year Notes,@TY ,@TY=114XN,15.63,14,,,,,,21,,,21,,,20
5 Year Notes,@FV,@FV=123XN,7.81,23,,,,,,21,,,21,,,20
Gold,@GC,@GC=120XN+GJMQZ,10,20,,24,,27,26,28,27,29,,27,,28
Silver,@SI,@SI=120XN+HKNZ,25,20,27,,29,27,26,28,27,,28,,,28
Copper,@HG,@HG=120XN,12.5,20,27,24,29,27,26,28,27,29,28,27,28,28
Platinum,@PL,@PL=120XN,5,20,27,,,27,26,28,27,,,27,,
Crude Oil,@CL,@CL=103XN,10,3,20,21,21,20,20,21,20,22,20,20,21,20
Natural Gas,@NG,@NG=103XN,10,3,27,24,29,27,26,28,27,29,28,27,28,28
Heating Oil,@HO,@HO=103XN,4.2,3,31,28,31,29,31,30,29,31,30,31,30,30
Gasoline,@RB,@RB=103XN,4.2,3,31,28,31,29,31,30,29,31,30,31,30,30
Wheat,@W,@W=110XN,12.5,10,,,14,,13,,14,,14,,,14
Corn,@C,@C=110XN+HKNZ,12.5,10,,,14,,13,,14,,14,,,14
Soybeans,@S,@S=110XN+FHKNX,12.5,10,13,,14,,13,,14,12,14,,14,
Soybean Oil,@BO,@BO=110XN+FHKNQVZ,6.25,10,13,,14,,13,,14,12,14,,14,
Soybean Meal,@SM,@SM=110XN+FHKNVZ,10,10,13,,14,,13,,14,12,14,,14,
Cotton,@CT,@CT=110XN+HKNZ,5,10,,21,,22,,23,,,23,,22,
Coffee,@KC,@KC=120XN,18.75,20,,16,,20,,21,,22,,,18,
Lumber,@LB,@LB=117XN,11.2,17,13,,15,,13,,15,,15,,15,
Live Cattle,@LC,@LC=117XN,10,17,,28,,29,,30,,31,,31,,30
Lean Hogs,@LH,@LH-109XN+GJMQVZ,10,9,,16,,18,17,16,19,16,,18,,16
Feeder Cattle,@FC,@FC=110XN,12.5,10,27,,31,29,27,,,26,30,28,18,