Market,Symbol,Charting.Symbol,Default.Value,Ticks.Per.Point,Amount.Per.Tick,Roll.Over.Days.Prior.to.Expiration,F.January,G.Feburary,H.March,J.April,K.May,M.June,N.July,Q.August,U.September,V.October,X.November,Z.December
Mini S&P,@ES,@ES=107XN,2000,4,12.5,7,,,17,,,17,,,16,,,16
Mini NASDAQ,@NQ,@NQ=107XN,4300,4,5,7,,,17,,,17,,,16,,,16
Mini DOW,@YM,@YM=107XN,1750,1,5,7,,,17,,,17,,,16,,,16
Mini Russell,@TF,@TF=107XN,1100,10,10,7,,,17,,,17,,,16,,,16
US Dollar,@DX,@DX=103XN,1,20,5,3,,,,,,13,,,19,,,
Euro,@EC,@EC=103XN,1.1,100,12.5,3,,,,,,13,,,19,,,
Yen,@JY,@JY=103XN,0.98,100,12.5,3,,,,,,13,,,19,,,
British Pound,@BP,@BP=103XN,1.5,100,6.25,3,,,,,,13,,,19,,,
Austrailan Dollar,@AD,@AD=103XN,0.7,100,10,3,,,,,,13,,,19,,,
Swiss Franc,@SF,@SF=103XN,1,100,12.5,3,,,,,,13,,,19,,,
Canadian Dollar,@CD,@CD=103XN,1,100,10,3,,,,,,13,,,19,,,
30 Year Bonds,@US,@US=114XN,160,32,31.25,14,,,,,,21,,,21,,,20
10 Year Notes,@TY ,@TY=114XN,133,64,15.63,14,,,,,,21,,,21,,,20
5 Year Notes,@FV,@FV=123XN,120,128,7.81,23,,,,,,21,,,21,,,20
Gold,@GC,@GC=120XN+GJMQZ,1300,10,10,20,,24,,27,26,28,27,29,,27,,28
Silver,@SI,@SI=120XN+HKNZ,18,20,25,20,27,,29,27,26,28,27,,28,,,28
Copper,@HG,@HG=120XN,2,20,12.5,20,27,24,29,27,26,28,27,29,28,27,28,28
Platinum,@PL,@PL=120XN,1000,10,5,20,27,,,27,26,28,27,,,27,,
Crude Oil,@CL,@CL=103XN,45,100,10,3,20,21,21,20,20,21,20,22,20,20,21,20
Natural Gas,@NG,@NG=103XN,2.8,100,10,3,27,24,29,27,26,28,27,29,28,27,28,28
Heating Oil,@HO,@HO=103XN,1.5,100,4.2,3,31,28,31,29,31,30,29,31,30,31,30,30
Gasoline,@RB,@RB=103XN,1.5,100,4.2,3,31,28,31,29,31,30,29,31,30,31,30,30
Wheat,@W,@W=110XN,425,4,12.5,10,,,14,,13,,14,,14,,,14
Corn,@C,@C=110XN+HKNZ,375,4,12.5,10,,,14,,13,,14,,14,,,14
Soybeans,@S,@S=110XN+FHKNX,1110,4,12.5,10,13,,14,,13,,14,12,14,,14,
Soybean Oil,@BO,@BO=110XN+FHKNQVZ,35,100,6.25,10,13,,14,,13,,14,12,14,,14,
Soybean Meal,@SM,@SM=110XN+FHKNVZ,390,10,10,10,13,,14,,13,,14,12,14,,14,
Cotton,@CT,@CT=110XN+HKNZ,65,100,5,10,,21,,22,,23,,,23,,22,
Coffee,@KC,@KC=120XN,140,20,18.75,20,,16,,20,,21,,22,,,18,
Live Cattle,@LC,@LC=117XN,100,100,10,17,,28,,29,,30,,31,,31,,30
Lean Hogs,@LH,@LH-109XN+GJMQVZ,85,1,10,9,,16,,18,17,16,19,16,,18,,16
Feeder Cattle,@FC,@FC=110XN,140,10,12.5,10,27,,31,29,27,,,26,30,28,18,